,Chapter,Leftname,Rightname,chaptername,chaptertitle,start,end,context,artical
0,第一回,甄士隐梦幻识通灵,贾雨村风尘怀闺秀,1,"甄士隐梦幻识通灵,贾雨村风尘怀闺秀",0,33.0,33.0,artical
1,第二回,贾夫人仙逝扬州城,冷子兴演说荣国府,2,"贾夫人仙逝扬州城,冷子兴演说荣国府",34,46.0,12.0,artical
2,第三回,托内兄如海酬训教,接外孙贾母惜孤女,3,"托内兄如海酬训教,接外孙贾母惜孤女",47,59.0,12.0,artical
3,第四回,薄命女偏逢薄命郎,葫芦僧乱判葫芦案,4,"薄命女偏逢薄命郎,葫芦僧乱判葫芦案",60,69.0,9.0,artical
4,第五回,游幻境指迷十二钗,饮仙醪曲演红楼梦,5,"游幻境指迷十二钗,饮仙醪曲演红楼梦",70,131.0,61.0,artical
5,第六回,贾宝玉初试云雨情,刘姥姥一进荣国府,6,"贾宝玉初试云雨情,刘姥姥一进荣国府",132,140.0,8.0,artical
6,第七回,送宫花贾琏戏熙凤,宴宁府宝玉会秦钟,7,"送宫花贾琏戏熙凤,宴宁府宝玉会秦钟",141,149.0,8.0,artical
7,第八回,比通灵金莺微露意,探宝钗黛玉半含酸,8,"比通灵金莺微露意,探宝钗黛玉半含酸",150,165.0,15.0,artical
8,第九回,恋风流情友入家塾,起嫌疑顽童闹学堂,9,"恋风流情友入家塾,起嫌疑顽童闹学堂",166,169.0,3.0,artical
9,第十回,金寡妇贪利权受辱,张太医论病细穷源,10,"金寡妇贪利权受辱,张太医论病细穷源",170,190.0,20.0,artical
10,第十一回,庆寿辰宁府排家宴,见熙凤贾瑞起淫心,11,"庆寿辰宁府排家宴,见熙凤贾瑞起淫心",191,197.0,6.0,artical
11,第十二回,王熙凤毒设相思局,贾天祥正照,12,"王熙凤毒设相思局,贾天祥正照",198,203.0,5.0,artical
12,第十三回,秦可卿死封龙禁尉,王熙凤协理宁国府,13,"秦可卿死封龙禁尉,王熙凤协理宁国府",204,211.0,7.0,artical
13,第十四回,林如海捐馆扬州城,贾宝玉路谒北静王,14,"林如海捐馆扬州城,贾宝玉路谒北静王",212,217.0,5.0,artical
14,第十五回,王凤姐弄权铁槛寺,秦鲸卿得趣馒头庵,15,"王凤姐弄权铁槛寺,秦鲸卿得趣馒头庵",218,224.0,6.0,artical
15,第十六回,贾元春才选凤藻宫,秦鲸卿夭逝黄泉路,16,"贾元春才选凤藻宫,秦鲸卿夭逝黄泉路",225,232.0,7.0,artical
16,第十七回,大观园试才题对额,荣国府归省庆元宵,17,"大观园试才题对额,荣国府归省庆元宵",233,251.0,18.0,artical
17,第十八回,隔珠帘父女勉忠勤,搦湘管姊弟裁题咏,18,"隔珠帘父女勉忠勤,搦湘管姊弟裁题咏",252,318.0,66.0,artical
18,第十九回,情切切良宵花解语,意绵绵静日玉生香,19,"情切切良宵花解语,意绵绵静日玉生香",319,323.0,4.0,artical
19,第二十回,王熙凤正言弹妒意,林黛玉俏语谑娇音,20,"王熙凤正言弹妒意,林黛玉俏语谑娇音",324,327.0,3.0,artical
20,第二十一回,贤袭人娇嗔箴宝玉,俏平儿软语救贾琏,21,"贤袭人娇嗔箴宝玉,俏平儿软语救贾琏",328,334.0,6.0,artical
21,第二十二回,听曲文宝玉悟禅机,制灯谜贾政悲谶语,22,"听曲文宝玉悟禅机,制灯谜贾政悲谶语",335,365.0,30.0,artical
22,第二十三回,西厢记妙词通戏语,牡丹亭艳曲警芳心,23,"西厢记妙词通戏语,牡丹亭艳曲警芳心",366,392.0,26.0,artical
23,第二十四回,醉金刚轻财尚义侠,痴女儿遗帕惹相思,24,"醉金刚轻财尚义侠,痴女儿遗帕惹相思",393,398.0,5.0,artical
24,第二十五回,魇魔法叔嫂逢五鬼,红楼梦通灵遇双真,25,"魇魔法叔嫂逢五鬼,红楼梦通灵遇双真",399,416.0,17.0,artical
25,第二十六回,蜂腰桥设言传密意,馆春困发幽情,26,"蜂腰桥设言传密意,馆春困发幽情",417,425.0,8.0,artical
26,第二十七回,滴翠亭杨妃戏彩蝶,埋香冢飞燕泣残红,27,"滴翠亭杨妃戏彩蝶,埋香冢飞燕泣残红",426,457.0,31.0,artical
27,第二十八回,蒋玉菡情赠茜香罗,薛宝钗羞笼红麝串,28,"蒋玉菡情赠茜香罗,薛宝钗羞笼红麝串",458,514.0,56.0,artical
28,第二十九回,享福人福深还祷福,痴情女情重愈斟情,29,"享福人福深还祷福,痴情女情重愈斟情",515,520.0,5.0,artical
29,第三十回,宝钗借扇机带双敲,龄官划蔷痴及局外,30,"宝钗借扇机带双敲,龄官划蔷痴及局外",521,526.0,5.0,artical
30,第三十一回,撕扇子作千金一笑,因麒麟伏白首双星,31,"撕扇子作千金一笑,因麒麟伏白首双星",527,531.0,4.0,artical
31,第三十二回,诉肺腑心迷活宝玉,含耻辱情烈死金钏,32,"诉肺腑心迷活宝玉,含耻辱情烈死金钏",532,536.0,4.0,artical
32,第三十三回,手足眈眈小动唇舌,不肖种种大承笞挞,33,"手足眈眈小动唇舌,不肖种种大承笞挞",537,540.0,3.0,artical
33,第三十四回,情中情因情感妹妹,错里错以错劝哥哥,34,"情中情因情感妹妹,错里错以错劝哥哥",541,555.0,14.0,artical
34,第三十五回,白玉钏亲尝莲叶羹,黄金莺巧结梅花络,35,"白玉钏亲尝莲叶羹,黄金莺巧结梅花络",556,562.0,6.0,artical
35,第三十六回,绣鸳鸯梦兆绛芸轩,识分定情悟梨香院,36,"绣鸳鸯梦兆绛芸轩,识分定情悟梨香院",563,569.0,6.0,artical
36,第三十七回,秋爽斋偶结海棠社,蘅芜苑夜拟菊花题,37,"秋爽斋偶结海棠社,蘅芜苑夜拟菊花题",570,614.0,44.0,artical
37,第三十八回,林魁夺菊花诗,薛蘅芜讽和螃蟹咏,38,"林魁夺菊花诗,薛蘅芜讽和螃蟹咏",615,697.0,82.0,artical
38,第三十九回,村姥姥是信口开河,情哥哥偏寻根究底,39,"村姥姥是信口开河,情哥哥偏寻根究底",698,701.0,3.0,artical
39,第四十回,史太君两宴大观园,金鸳鸯三宣牙牌令,40,"史太君两宴大观园,金鸳鸯三宣牙牌令",702,705.0,3.0,artical
40,第四十一回,贾宝玉品茶栊翠庵,刘姥姥醉卧怡红院,41,"贾宝玉品茶栊翠庵,刘姥姥醉卧怡红院",706,708.0,2.0,artical
41,第四十二回,蘅芜君兰言解疑癖,子雅谑补馀香,42,"蘅芜君兰言解疑癖,子雅谑补馀香",709,714.0,5.0,artical
42,第四十三回,闲取乐偶攒金庆寿,不了情暂撮土为香,43,"闲取乐偶攒金庆寿,不了情暂撮土为香",715,718.0,3.0,artical
43,第四十四回,变生不测凤姐泼醋,喜出望外平儿理妆,44,"变生不测凤姐泼醋,喜出望外平儿理妆",719,723.0,4.0,artical
44,第四十五回,金兰契互剖金兰语,风雨夕闷制风雨词,45,"金兰契互剖金兰语,风雨夕闷制风雨词",724,738.0,14.0,artical
